address	size	name	hints
0x401000	64		
0x401040	464		
0x401210	80		
0x401260	80		.lvl
0x4012B0	96		
0x401310	336		
0x401460	48		
0x401490	160		
0x401530	848		
0x401880	96		
0x4018E0	32		
0x401900	48		
0x401930	128		
0x4019B0	288		
0x401AD0	176		
0x401B80	128		
0x401C00	144		
0x401C90	80		
0x401CE0	208		
0x401DB0	64		
0x401DF0	272		
0x401F00	80		
0x401F50	160		
0x401FF0	864		
0x402350	464		
0x402520	144		
0x4025B0	112		
0x402620	416		
0x4027C0	144		
0x402850	80		
0x4028A0	304		
0x4029D0	112		
0x402A40	144		
0x402AD0	80		
0x402B20	304		
0x402C50	224		
0x402D30	336		
0x402E80	848		
0x4031D0	480		
0x4033B0	208		
0x403480	272		
0x403590	304		
0x4036C0	176		
0x403770	1312		
0x403C90	80		
0x403CE0	80		
0x403D30	80		
0x403D80	80		
0x403DD0	80		
0x403E20	80		
0x403E70	80		
0x403EC0	80		
0x403F10	80		
0x403F60	112		
0x403FD0	64		
0x404010	320		
0x404150	144		
0x4041E0	80		
0x404230	48		
0x404260	32		
0x404280	96		_DE | _FR | _IT
0x4042E0	1152		\data\textures\loadAnim\bar%01d | _DE | _FR
0x404760	128		
0x4047E0	752		
0x404AD0	1024		
0x404ED0	832		
0x405210	320		
0x405350	496		
0x405540	496		
0x405730	1		
0x405731	367		
0x4058A0	91		
0x4058FB	289		.bmp
0x405A1C	1012		\data\global\global_loadingscreen_%s.smb | \data\textures\gui\%s | .bmp
0x405E10	32		
0x405E30	176		
0x405EE0	272		
0x405FF0	32		
0x406010	64		
0x406050	48		
0x406080	80		
0x4060D0	16		game.sav
0x4060E0	272		%s\Save\%8x | %s\
0x4061F0	128		
0x406270	1744		
0x406940	368		
0x406AB0	416		%s\Save\%8x | %s\
0x406C50	128		
0x406CD0	96		U:\
0x406D30	256		U:\
0x406E30	176		
0x406EE0	96		
0x406F40	1744		Save\savetemp | owsv
0x407610	288		
0x407730	368		%s\Save\%8x | %s\
0x4078A0	160		%s\Save\%8x | %s\
0x407940	224		%s\Save\%8x | %s\
0x407A20	224		
0x407B00	208		
0x407BD0	64		
0x407C10	160		
0x407CB0	416		
0x407E50	144		
0x407EE0	224		
0x407FC0	240		
0x4080B0	576		.smb | _thumb.bmp
0x4082F0	64		
0x408330	48		
0x408360	64		
0x4083A0	176		
0x408450	96		
0x4084B0	128		
0x408530	192		
0x4085F0	80		
0x408640	160		
0x4086E0	256		
0x4087E0	64		
0x408820	224		
0x408900	96		
0x408960	272		
0x408A70	80		
0x408AC0	288		
0x408BE0	256		
0x408CE0	304		
0x408E10	80		
0x408E60	112		
0x408ED0	304		
0x409000	256		
0x409100	48		
0x409130	736		metadata.dat
0x409410	464		metadata.dat
0x4095E0	352		
0x409740	96		
0x4097A0	608		
0x409A00	96		
0x409A60	208		
0x409B30	144		
0x409BC0	1120		
0x40A020	1328		
0x40A550	480		
0x40A730	1008		
0x40AB20	272		
0x40AC30	640	Camera::vfunc5	
0x40AEB0	48		
0x40AEE0	32		
0x40AF00	144		
0x40AF90	880		Cannot create camera type that does not exist | .\Camera\Camera.cpp
0x40B300	176		
