class	field	offset
?	m_frame	0x0
?	m_controls[0]	0x0
?	m_prefsToken	0x8
?	m_remapTable	0x8
?	m_controls[1]	0xC
?	m_multiplier	0x14
?	m_controls[2]	0x18
?	m_controls[3]	0x24
?	m_destructablePrefs	0x28
?	m_switchModelToken	0x28
?	m_textInset.x	0x34
?	m_textInset.y	0x38
?	m_pref	0x60
?	m_inactiveAtStartup	0x64
?	m_prefToken	0x64
?	m_data	0x6C
?	m_idString	0x70
AVEventPrefs	m_eNPCGunshot	0x24
AVEventPrefs	m_eNPCDamage	0x38
AVEventPrefs	m_ePlayerAmmoStrike	0x4C
AVEventPrefs	m_initialScale	0x58
AVEventPrefs	m_finalScale	0x5C
AVEventPrefs	m_eLookAtSpot	0x60
AVEventPrefs	m_cardInitAngle	0x60
AVEventPrefs	m_cardAngularVel	0x64
AVEventPrefs	m_cardAngularAccel	0x68
AVEventPrefs	m_eSawEnemyPlayer	0x74
AVEventPrefs	m_initialColor	0x74
AVEventPrefs	m_finalColor	0x78
AVEventPrefs	m_textureFramerate	0x7C
AVEventPrefs	m_textureNames	0x80
AVEventPrefs	m_eAttack	0x88
AVEventPrefs	m_glareTextureName	0x98
AVEventPrefs	m_eSawDeadFriend	0x9C
AVEventPrefs	m_distortionTextureName	0x9C
AVEventPrefs	m_blendMode	0xA8
AVEventPrefs	m_eRelax	0xB0
AVEventPrefs	m_eLeaveCombat	0xC4
AVEventPrefs	m_eNPCDeath	0xD8
AVEventPrefs	m_eImmobilize	0xEC
AVEventPrefs	m_eRunCrazy	0x100
AVEventPrefs	m_eSendTo	0x114
AVEventPrefs	m_eBored	0x128
AVEventPrefs	m_eEnteredWater	0x13C
AVEventPrefs	m_eTownBell	0x150
AVEventPrefs	m_ePlayerNoise	0x164
AVEventPrefs	m_eTalkRequest	0x178
AVEventPrefs	m_eOnCompanyProperty	0x18C
AVEventPrefs	m_eSawSteefChange	0x1A0
AVEventPrefs	m_ePanic	0x1B4
AVEventPrefs	m_eNPCShout	0x1C8
AVEventPrefs	m_eBreak	0x1DC
AVEventPrefs	m_eReset	0x1F0
AVEventPrefs	m_eForceJob	0x204
AVEventPrefs	m_eStruggle	0x218
AVEventPrefs	m_eExplosion	0x22C
AVEventPrefs	m_eSawDeadPlayer	0x240
AlarmTag	m_howLongToSound	0x60
AlarmTag	m_timeBetweenSounds	0x64
AlarmTag	m_soundToMake	0x6C
AnimationControl	m_xLo	0x0
AnimationControl	m_xHi	0x4
AnimationControl	m_yLo	0x8
AnimationControl	m_yHi	0xC
AnimationLayerConfig	m_sources	0x8
AnimationLayerConfig	m_version	0x10
Animations	m_autoStart	0x4
Animations	m_name	0x4
Animations	m_randomOffset	0x5
Animations	m_randomSpeed	0x8
Animations	m_blendTime	0xC
Animations	m_motionType	0x28
ArtifactPrefs	m_buyValue	0x10
ArtifactPrefs	m_sellValue	0x14
ArtifactPrefs	m_3DModelName	0x20
ArtifactPrefs	m_3DModelScale	0x24
ArtifactPrefs	m_parameter	0x28
ArtifactPrefs	m_upgradeOrder	0x2C
AudioLevelPrefs	m_regionDebugName	0x10
AudioLevelPrefs	m_regionWaveBankStem	0x14
AudioLevelPrefs	m_musicCueName	0x18
AudioLevelPrefs	m_lipBundleStem	0x1C
AudioLevelPrefs	m_lipBundleGlobalIndex	0x20
AudioVolumeTag	m_environmentIndex	0x70
AudioVolumeTag	m_occluderIndex	0x74
AudioVolumeTag	m_linkedTo	0x78
Basic	m_background	0x0
Basic	m_text	0x4
Basic	m_perc	0x8
BoatPrefs	m_terminalVelocity	0x10
BoatPrefs	m_timeScale	0x14
BoatPrefs	m_perpTerminalVelocity	0x18
BoatPrefs	m_perpTimeScale	0x1C
BoatPrefs	m_hullHeight	0x24
BoatPrefs	m_waterBoatDensityRatio	0x28
BoatPrefs	m_inputTurnSensitivity	0x2C
BoatPrefs	m_inputMaxTurnSpeed	0x30
BoatPrefs	m_inputAccelSensitivity	0x34
BoatPrefs	m_inputMaxAccelRate	0x38
BoatPrefs	m_inputTerminalVelocityFP	0x3C
BoatPrefs	m_inputTurnSensitivityFP	0x40
BoatPrefs	m_inputMaxTurnSpeedFP	0x44
BoatPrefs	m_inputAccelSensitivityFP	0x48
BoatPrefs	m_inputMaxAccelRateFP	0x4C
BoatPrefs	m_dragTurningEfficiency	0x50
BoatPrefs	m_depthBumper	0x54
BoatPrefs	m_buoyancyLongPontoonOffset	0x58
BoatPrefs	m_buoyancyLatPontoonOffset	0x5C
BoatPrefs	m_buoyancyPontoonLiftDragConstant	0x60
BoatPrefs	m_buoyancyPontoonSinkDragConstant	0x64
BoatPrefs	m_dragSensorZOffset	0x68
BoatPrefs	m_dragSensorLongOffset	0x6C
BoatPrefs	m_foreSphereRadius	0x70
BoatPrefs	m_midSphereRadius	0x74
BoatPrefs	m_aftSphereRadius	0x78
BoatPrefs	m_foreSphereOffset	0x7C
BoatPrefs	m_aftSphereOffset	0x80
BoatPrefs	m_sphereZOffset	0x84
BoatPrefs	m_blendToIdleTime	0x88
BoatPrefs	m_blendFromIdleTime	0x8C
BoatPrefs	m_increaseOarSpeedTime	0x90
BoatPrefs	m_decreaseOarSpeedTime	0x94
BoatPrefs	m_minStickCloseness	0x98
BoatPrefs	m_maxSyncMultiplier	0x9C
BoatPrefs	m_oarTipHeightOffset	0xA0
BoatPrefs	m_oarCreakInterval	0xA4
BoatPrefs	m_wakeSpawnMinRate	0xA8
BoatPrefs	m_wakeSpawnMinRateSpeed	0xAC
BoatPrefs	m_wakeSpawnMaxRate	0xB0
BoatPrefs	m_wakeSpawnMaxRateSpeed	0xB4
BoatPrefs	m_singleStickReverseZone	0xB8
BoatPrefs	m_numIKIterations	0xBC
BoatPrefs	m_driverOffset	0xC0
BoatPrefs	m_gunnerOffset	0xCC
BoatPrefs	m_defaultTurret	0xD8
BoatPrefs	m_velForDamageNone	0xDC
BoatPrefs	m_velForDamageMin	0xE0
BoatPrefs	m_velForDamageMax	0xE4
BoltSurfaceSndPrefs	m_duration	0x8
BoltSurfaceSndPrefs	m_fxImpactRicochetPrefBase	0x10
BoltSurfaceSndPrefs	m_geoName	0x10
