Activate	0x55F390
ActivateAmbientEmitter	0x5580F0
ActivateDuration	0x55F890
ActivateEffect	0x55C790
ActivateFromActivator	0x55F980
ActivateGroup	0x55F5D0
ActivateSet	0x55F450
ActivateSetGroup	0x55F680
ActivateVolume	0x55F300
AddObjectToGroup	0x55D990
AddStat	0x563C40
ArtifactPref	0x568E50
AttachGeometry	0x55C3B0
BeginCinematic	0x558750
BeginCinematicNoBars	0x5587F0
BeginCinematicRollControl	0x558780
BeginJobLock	0x56A730
BoatGiveTurret	0x55E760
BoatHasTurret	0x55E020
BoatMove	0x55E3B0
BoatMoveAboard	0x55DF50
BoatMoveAboardWF	0x55DF80
BoatMoveWF	0x55E450
BoatPlayAnim	0x55E090
BoatReleaseFromPath	0x55E3E0
BoatStartPhysics	0x55E5A0
BoatStopAutoRowing	0x55E610
BoatStopPhysics	0x55E480
BoatTakeTurret	0x55E810
BoatTeleportAboard	0x55DD00
BoatTeleportAshore	0x55DD30
BoatTurretFireStart	0x553BD0
BoatTurretFireStop	0x553CA0
BoatWF	0x55E680
BountyPost_AddAssignment	0x5623E0
BountyPost_ClearAssignments	0x562360
BountyPost_ClearPaidAssignments	0x5623A0
BountyPost_MakeAssignmentAvailable	0x562490
BountyPost_MakeAssignmentNotAvailable	0x562520
BountyPref	0x568D60
BreakLockToGround	0x54E070
BroadcastPlayerNoise	0x54CEC0
CameraWF	0x55E9E0
Checkpoint	0x54D860
CineFX_SetFadeIn	0x5609E0
ClearActiveBolts	0x5612F0
ClearAllBolts	0x561330
CombatGoto	0x56C540
CombatGotoWF	0x56E660
ConversationWaitFor	0x55F110
CountNPCAlive	0x55D240
CountNPCAliveInGroup	0x55D490
CountNPCAliveOfType	0x55D430
CountNPCAliveOfTypeInGroup	0x55D680
CountNPCDead	0x55D1F0
CountNPCInAgit	0x55D2E0
CountNPCInAgitInGroup	0x55D530
CountNPCInCombat	0x55D330
CountNPCInCombatInGroup	0x55D580
CountNPCInNormal	0x55D290
CountNPCInNormalInGroup	0x55D4E0
CountNPCInPanic	0x55D380
CountNPCInPanicInGroup	0x55D5D0
CountNPCOfType	0x55D3D0
CountNPCOfTypeInGroup	0x55D620
CreateCineGroupFromVolume	0x55D740
CrossbowWeaponOnLeft	0x561880
CrossbowWeaponOnRight	0x561930
CurrentSetEnabled	0x55E880
CutTo	0x559B90
Deactivate	0x55F510
DeactivateAmbientEmitter	0x5581B0
DeactivateEffect	0x55C850
DeactivateGroup	0x55F730
DeactivateVolume	0x55F330
DebugHudPrint	0x561D40
Dec	0x54F670
DefaultJob	0x54CAA0
Delete	0x54D900
DeleteZone	0x550570
DestroyAttachedBolts	0x54D640
DetachGeometry	0x55C630
DevicePressWF	0x55FCF0
DisableCombatMusic	0x556710
DisableSaveLoad	0x55C950
DisableShowingOnRadar	0x5616A0
DisableTensionMusic	0x556690
DoPlayerVictoryWF	0x571DD0
DontFixFeet	0x572270
EffectPref	0x568E00
EnableCombatMusic	0x5566D0
EnableSaveLoad	0x55C910
EnableShowingOnRadar	0x561670
EnableTensionMusic	0x556650
EndCineTorsoAnim	0x56AE20
EndCinematic	0x558820
EndGame	0x5606B0
EndJobLock	0x56A980
Exhaust	0x555530
ExplosionPref	0x568EF0
FadeIn	0x558AE0
FadeInFromColor	0x558BA0
FadeInFromColorWF	0x558BD0
FadeInWF	0x558B10
FadeOut	0x558B40
FadeOutToColor	0x558C00
FadeOutToColorWF	0x558C30
FadeOutWF	0x558B70
FireBolt	0x553850
FireBoltMiss	0x5538B0
FireWeapon	0x56C790
FireWeaponNoReload	0x56C9E0
FlushResourceManager	0x561D40
Follow	0x56BE50
FollowWF	0x56E180
ForceCombat	0x552E90
ForceFPS	0x558470
ForceJob	0x54C870
ForceNotFPS	0x558490
ForceSniper	0x5584B0
GeneralStore_AddItemQuantity	0x562960
GeneralStore_SetItemQuantity	0x562A50
GetBool	0x54F370
GetDOFDistance	0x55F0D0
GetFloat	0x54F270
GetHealth	0x569240
GetID	0x54F8A0
GetInt	0x54F170
GetMindState	0x5696E0
GetMoolah	0x5630E0
GetNameOfBountyAssignment	0x5637D0
GetStamina	0x569490
GetThis	0x54C6A0
GetWorker	0x56A290
Gib	0x5553E0
GiveAllAmmo	0x560E30
GiveAmmo	0x5610F0
GiveAmmoForceDowngrade	0x561120
GiveArtifact	0x563560
GiveCrossbow	0x561770
GiveDefaultAmmo	0x560E90
GoThroughDoorFast	0x56D7C0
GoThroughDoorFastWF	0x571240
GoThroughDoorSlow	0x56D570
GoThroughDoorSlowWF	0x570D60
Goto	0x56B510
GotoPlayerAggressive	0x56B760
GotoRun	0x56BC00
GotoRunWF	0x56F020
GotoSlow	0x56B9B0
GotoSlowWF	0x56EB40
GotoTurnWork	0x56C2F0
GotoTurnWorkWF	0x570880
GotoWF	0x56DCA0
HasArtifactCount	0x563210
HireActor	0x559580
ID	0x6823A0
Idle	0x56B070
IdleWF	0x56F500
ImmobilizeSpiderBolaInstant	0x5538E0
Inc	0x54F510
IsActive	0x55F7E0
IsCinematicRunning	0x559160
IsEnvironmentalCueActive	0x558290
IsInFOV	0x55EA90
IsInLOS	0x55EC00
IsInView	0x55ECD0
IsNull	0x54D020
IsPlayerOnRope	0x54D710
IsPortalEnabled	0x5502F0
IsSteef	0x54D110
IsStranger	0x54D200
IsTownPanicking	0x55DC60
IsVolumeActive	0x55F360
IsZonePagedIn	0x550480
KeepInMindState	0x569B80
Kill	0x555380
KillObject	0x555380
KnockPlayerOffRope	0x54D780
LevelTransition	0x560510
LoadLastSave	0x5622A0
LoadLevel	0x560700
LockCamera	0x54DEB0
LockPlayerDisguise	0x54D430
LockToGround	0x54DF90
Log	0x54C060
MakePlayerSteef	0x54D2F0
MakePlayerStranger	0x54D390
MechanicalPref	0x568EA0
MoveIntoPurgatory	0x5601E0
MoveIntoPurgatoryGroup	0x5603C0
MoveIntoPurgatoryUpdateNav	0x572730
MoveOutOfPurgatory	0x5600C0
MoveOutOfPurgatoryGroup	0x560330
MoveOutOfPurgatoryUpdateNav	0x5724D0
MoveTo	0x55A160
MoveToWF	0x55A190
NPCWeaponPrefs	0x568F90
NextCinematicPagingTracksCamera	0x5583B0
Object	0x54C190
OpenWeaponHUD	0x5622F0
